          atime         eps_uu         eps_vv         eps_ww         pm1avg           tavg
  2.4336875E+02 -4.3369770E-02 -1.0906967E-06 -1.6947601E-02  2.1222186E-03  0.0000000E+00
  2.4336875E+02 -4.3365071E-02 -1.0788877E-06 -1.6928085E-02  2.1222187E-03  0.0000000E+00
  2.4336875E+02 -4.3360395E-02 -1.0686454E-06 -1.6908599E-02  2.1222187E-03  0.0000000E+00
  2.4336875E+02 -4.3355740E-02 -1.0599633E-06 -1.6889141E-02  2.1222188E-03  0.0000000E+00
  2.4336875E+02 -4.3351109E-02 -1.0528391E-06 -1.6869719E-02  2.1222189E-03  0.0000000E+00
  2.4336875E+02 -4.3346499E-02 -1.0472638E-06 -1.6850321E-02  2.1222189E-03  0.0000000E+00
  2.4336875E+02 -4.3341913E-02 -1.0432355E-06 -1.6830958E-02  2.1222190E-03  0.0000000E+00
  2.4336875E+02 -4.3337347E-02 -1.0407468E-06 -1.6811620E-02  2.1222191E-03  0.0000000E+00
  2.4336875E+02 -4.3332804E-02 -1.0397938E-06 -1.6792318E-02  2.1222191E-03  0.0000000E+00
  2.4336875E+02 -4.3328283E-02 -1.0403711E-06 -1.6773039E-02  2.1222192E-03  0.0000000E+00
  2.4336875E+02 -4.3323783E-02 -1.0424739E-06 -1.6753791E-02  2.1222193E-03  0.0000000E+00
  2.4336875E+02 -4.3319306E-02 -1.0460960E-06 -1.6734577E-02  2.1222193E-03  0.0000000E+00
  2.4336875E+02 -4.3314850E-02 -1.0512343E-06 -1.6715388E-02  2.1222194E-03  0.0000000E+00
  2.4336875E+02 -4.3310416E-02 -1.0578808E-06 -1.6696234E-02  2.1222195E-03  0.0000000E+00
  2.4336875E+02 -4.3306003E-02 -1.0660344E-06 -1.6677104E-02  2.1222195E-03  0.0000000E+00
  2.4336875E+02 -4.3301613E-02 -1.0756851E-06 -1.6658009E-02  2.1222196E-03  0.0000000E+00
  2.4336875E+02 -4.3297244E-02 -1.0868338E-06 -1.6638938E-02  2.1222197E-03  0.0000000E+00
  2.4336875E+02 -4.3292896E-02 -1.0994688E-06 -1.6619902E-02  2.1222197E-03  0.0000000E+00
  2.4336875E+02 -4.3288569E-02 -1.1135927E-06 -1.6600889E-02  2.1222198E-03  0.0000000E+00
  2.4336875E+02 -4.3284264E-02 -1.1291968E-06 -1.6581906E-02  2.1222198E-03  0.0000000E+00
  2.4336875E+02 -4.3279980E-02 -1.1462709E-06 -1.6562958E-02  2.1222199E-03  0.0000000E+00
  2.4336875E+02 -4.3275717E-02 -1.1648204E-06 -1.6544033E-02  2.1222200E-03  0.0000000E+00
  2.4336875E+02 -4.3271476E-02 -1.1848290E-06 -1.6525142E-02  2.1222200E-03  0.0000000E+00
  2.4336875E+02 -4.3267255E-02 -1.2063040E-06 -1.6506276E-02  2.1222201E-03  0.0000000E+00
  2.4336875E+02 -4.3263056E-02 -1.2292274E-06 -1.6487443E-02  2.1222202E-03  0.0000000E+00
  2.4336875E+02 -4.3258876E-02 -1.2536082E-06 -1.6468634E-02  2.1222202E-03  0.0000000E+00
  2.4336875E+02 -4.3254719E-02 -1.2794269E-06 -1.6449859E-02  2.1222203E-03  0.0000000E+00
  2.4336875E+02 -4.3250581E-02 -1.3066941E-06 -1.6431108E-02  2.1222204E-03  0.0000000E+00
  2.4336875E+02 -4.3246464E-02 -1.3353973E-06 -1.6412385E-02  2.1222204E-03  0.0000000E+00
  2.4336875E+02 -4.3242369E-02 -1.3655225E-06 -1.6393696E-02  2.1222205E-03  0.0000000E+00
  2.4336875E+02 -4.3238290E-02 -1.3971120E-06 -1.6375014E-02  2.1222205E-03  0.0000000E+00
  2.4336875E+02 -4.3234241E-02 -1.4300347E-06 -1.6356410E-02  2.1222206E-03  0.0000000E+00
  2.4336875E+02 -4.3230202E-02 -1.4644743E-06 -1.6337779E-02  2.1222207E-03  0.0000000E+00
