          atime             vx             vy             vz             pr        garbage
  2.0799350E+02  1.0997249E+00  4.1202250E-03 -1.4917275E-03 -1.4052213E-02  0.0000000E+00
  2.0799350E+02  1.1044197E+00  4.0694359E-03 -1.6114407E-03 -1.3530097E-02  0.0000000E+00
  2.0799350E+02  1.1090819E+00  4.0491955E-03 -1.6891198E-03 -1.3029937E-02  0.0000000E+00
  2.0799350E+02  1.1136634E+00  4.0419895E-03 -1.7494573E-03 -1.2551538E-02  0.0000000E+00
  2.0799350E+02  1.1181259E+00  4.0364479E-03 -1.8185696E-03 -1.2094100E-02  0.0000000E+00
  2.0799350E+02  1.1224480E+00  4.0263101E-03 -1.9166214E-03 -1.1656507E-02  0.0000000E+00
  2.0799350E+02  1.1266269E+00  4.0087973E-03 -2.0544421E-03 -1.1237536E-02  0.0000000E+00
  2.0799350E+02  1.1306777E+00  3.9827079E-03 -2.2332137E-03 -1.0836009E-02  0.0000000E+00
  2.0799350E+02  1.1346274E+00  3.9465497E-03 -2.4463034E-03 -1.0450889E-02  0.0000000E+00
  2.0799350E+02  1.1385091E+00  3.8970244E-03 -2.6823197E-03 -1.0081324E-02  0.0000000E+00
  2.0799350E+02  1.1423536E+00  3.8281798E-03 -2.9284675E-03 -9.7266358E-03  0.0000000E+00
  2.0799350E+02  1.1461825E+00  3.7315421E-03 -3.1732776E-03 -9.3862774E-03  0.0000000E+00
  2.0799350E+02  1.1500009E+00  3.5975468E-03 -3.4077888E-03 -9.0597413E-03  0.0000000E+00
  2.0799350E+02  1.1537934E+00  3.4185790E-03 -3.6242573E-03 -8.7464402E-03  0.0000000E+00
  2.0799350E+02  1.1575226E+00  3.1939409E-03 -3.8114706E-03 -8.4455576E-03  0.0000000E+00
  2.0799350E+02  1.1611472E+00  2.9279113E-03 -3.9472623E-03 -8.1551738E-03  0.0000000E+00
  2.0799350E+02  1.1646540E+00  2.6214468E-03 -4.0021779E-03 -7.8705837E-03  0.0000000E+00
  2.0799350E+02  1.1680358E+00  2.2931575E-03 -3.9860351E-03 -7.5917034E-03  0.0000000E+00
  2.0799350E+02  1.1713231E+00  1.9509382E-03 -3.9201883E-03 -7.3170137E-03  0.0000000E+00
