          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  2.0799350E+02 -3.6042109E-03  2.0292716E-03  2.5165946E-03 -1.3879610E-02  0.0000000E+00
  2.0799350E+02 -3.5008688E-03  2.0447996E-03  2.3405956E-03 -1.3373855E-02  0.0000000E+00
  2.0799350E+02 -3.4366307E-03  2.0064757E-03  2.1798437E-03 -1.2885140E-02  0.0000000E+00
  2.0799350E+02 -3.4092794E-03  1.9081019E-03  2.0406029E-03 -1.2412852E-02  0.0000000E+00
  2.0799350E+02 -3.4040652E-03  1.7627152E-03  1.9332078E-03 -1.1956793E-02  0.0000000E+00
  2.0799350E+02 -3.4032965E-03  1.5896021E-03  1.8655431E-03 -1.1516748E-02  0.0000000E+00
  2.0799350E+02 -3.3920734E-03  1.4071287E-03  1.8394639E-03 -1.1092292E-02  0.0000000E+00
  2.0799350E+02 -3.3609543E-03  1.2299380E-03  1.8496605E-03 -1.0682756E-02  0.0000000E+00
  2.0799350E+02 -3.3063446E-03  1.0690619E-03  1.8844759E-03 -1.0287306E-02  0.0000000E+00
  2.0799350E+02 -3.2293962E-03  9.3350078E-04  1.9281823E-03 -9.9050745E-03  0.0000000E+00
  2.0799350E+02 -3.1342084E-03  8.3181758E-04  1.9642233E-03 -9.5352792E-03  0.0000000E+00
  2.0799350E+02 -3.0261172E-03  7.7229905E-04  1.9789278E-03 -9.1772813E-03  0.0000000E+00
  2.0799350E+02 -2.9108647E-03  7.6023232E-04  1.9652036E-03 -8.8305170E-03  0.0000000E+00
  2.0799350E+02 -2.7954356E-03  7.9084742E-04  1.9257161E-03 -8.4942474E-03  0.0000000E+00
  2.0799350E+02 -2.6913515E-03  8.3647574E-04  1.8750587E-03 -8.1670671E-03  0.0000000E+00
  2.0799350E+02 -2.6150922E-03  8.2616274E-04  1.8213056E-03 -7.8474938E-03  0.0000000E+00
  2.0799350E+02 -2.5346900E-03  7.9422239E-04  1.7286588E-03 -7.5357236E-03  0.0000000E+00
  2.0799350E+02 -2.4520991E-03  7.7911519E-04  1.6467127E-03 -7.2294167E-03  0.0000000E+00
  2.0799350E+02 -2.3702625E-03  7.7074213E-04  1.5797575E-03 -6.9290749E-03  0.0000000E+00
