          atime             vx             vy             vz             pr        garbage
  1.4637935E+02  7.2734244E-03 -1.6394478E-07 -6.0099528E-05  1.8076159E-03  0.0000000E+00
  1.4637935E+02  7.4054168E-03 -1.7026176E-07 -6.1174441E-05  1.8076129E-03  0.0000000E+00
  1.4637935E+02  7.5378046E-03 -1.7671457E-07 -6.2252010E-05  1.8076100E-03  0.0000000E+00
  1.4637935E+02  7.6697949E-03 -1.8326443E-07 -6.3325782E-05  1.8076071E-03  0.0000000E+00
  1.4637935E+02  7.8021806E-03 -1.8995048E-07 -6.4402205E-05  1.8076041E-03  0.0000000E+00
  1.4637935E+02  7.9341689E-03 -1.9673215E-07 -6.5474834E-05  1.8076012E-03  0.0000000E+00
  1.4637935E+02  8.0665526E-03 -2.0365119E-07 -6.6550112E-05  1.8075983E-03  0.0000000E+00
  1.4637935E+02  8.1985389E-03 -2.1066492E-07 -6.7621599E-05  1.8075954E-03  0.0000000E+00
  1.4637935E+02  8.3309205E-03 -2.1781529E-07 -6.8695731E-05  1.8075924E-03  0.0000000E+00
  1.4637935E+02  8.4633011E-03 -2.2508228E-07 -6.9769289E-05  1.8075895E-03  0.0000000E+00
  1.4637935E+02  8.5952843E-03 -2.3244252E-07 -7.0839062E-05  1.8075866E-03  0.0000000E+00
  1.4637935E+02  8.7276628E-03 -2.3994031E-07 -7.1911474E-05  1.8075837E-03  0.0000000E+00
  1.4637935E+02  8.8596440E-03 -2.4753070E-07 -7.2980103E-05  1.8075808E-03  0.0000000E+00
  1.4637935E+02  8.9920205E-03 -2.5525903E-07 -7.4051369E-05  1.8075779E-03  0.0000000E+00
  1.4637935E+02  9.1239996E-03 -2.6307898E-07 -7.5118856E-05  1.8075750E-03  0.0000000E+00
  1.4637935E+02  9.2563740E-03 -2.7103725E-07 -7.6188976E-05  1.8075722E-03  0.0000000E+00
  1.4637935E+02  9.3883511E-03 -2.7908616E-07 -7.7255320E-05  1.8075693E-03  0.0000000E+00
  1.4637935E+02  9.5207235E-03 -2.8727378E-07 -7.8324293E-05  1.8075664E-03  0.0000000E+00
  1.4637935E+02  9.6530949E-03 -2.9557605E-07 -7.9392692E-05  1.8075635E-03  0.0000000E+00
  1.4637935E+02  9.7850689E-03 -3.0396742E-07 -8.0457321E-05  1.8075606E-03  0.0000000E+00
  1.4637935E+02  9.9174382E-03 -3.1249817E-07 -8.1524573E-05  1.8075578E-03  0.0000000E+00
  1.4637935E+02  1.0049410E-02 -3.2111701E-07 -8.2588059E-05  1.8075549E-03  0.0000000E+00
  1.4637935E+02  1.0181777E-02 -3.2987559E-07 -8.3654164E-05  1.8075520E-03  0.0000000E+00
  1.4637935E+02  1.0313747E-02 -3.3872128E-07 -8.4716506E-05  1.8075492E-03  0.0000000E+00
  1.4637935E+02  1.0446112E-02 -3.4770712E-07 -8.5781465E-05  1.8075463E-03  0.0000000E+00
  1.4637935E+02  1.0578080E-02 -3.5677912E-07 -8.6842664E-05  1.8075435E-03  0.0000000E+00
  1.4637935E+02  1.0710443E-02 -3.6599162E-07 -8.7906475E-05  1.8075406E-03  0.0000000E+00
  1.4637935E+02  1.0842805E-02 -3.7531740E-07 -8.8969713E-05  1.8075378E-03  0.0000000E+00
  1.4637935E+02  1.0974770E-02 -3.8472790E-07 -9.0029195E-05  1.8075349E-03  0.0000000E+00
  1.4637935E+02  1.1107130E-02 -3.9427945E-07 -9.1091285E-05  1.8075321E-03  0.0000000E+00
  1.4637935E+02  1.1239093E-02 -4.0391469E-07 -9.2149624E-05  1.8075293E-03  0.0000000E+00
  1.4637935E+02  1.1371451E-02 -4.1369141E-07 -9.3210567E-05  1.8075264E-03  0.0000000E+00
  1.4637935E+02  1.1503411E-02 -4.2355088E-07 -9.4267761E-05  1.8075236E-03  0.0000000E+00
  1.4637935E+02  1.1635767E-02 -4.3355218E-07 -9.5327557E-05  1.8075208E-03  0.0000000E+00
  1.4637935E+02  1.1767726E-02 -4.4363526E-07 -9.6383608E-05  1.8075180E-03  0.0000000E+00
  1.4637935E+02  1.1900079E-02 -4.5386053E-07 -9.7442256E-05  1.8075151E-03  0.0000000E+00
  1.4637935E+02  1.2032432E-02 -4.6419792E-07 -9.8500330E-05  1.8075123E-03  0.0000000E+00
  1.4637935E+02  1.2164387E-02 -4.7461528E-07 -9.9554663E-05  1.8075095E-03  0.0000000E+00
  1.4637935E+02  1.2296738E-02 -4.8517557E-07 -1.0061159E-04  1.8075067E-03  0.0000000E+00
  1.4637935E+02  1.2428691E-02 -4.9581524E-07 -1.0166478E-04  1.8075039E-03  0.0000000E+00
  1.4637935E+02  1.2561040E-02 -5.0659802E-07 -1.0272056E-04  1.8075011E-03  0.0000000E+00
  1.4637935E+02  1.2692991E-02 -5.1745924E-07 -1.0377260E-04  1.8074983E-03  0.0000000E+00
  1.4637935E+02  1.2825338E-02 -5.2846392E-07 -1.0482723E-04  1.8074955E-03  0.0000000E+00
  1.4637935E+02  1.2957287E-02 -5.3954604E-07 -1.0587814E-04  1.8074927E-03  0.0000000E+00
  1.4637935E+02  1.3089631E-02 -5.5077199E-07 -1.0693162E-04  1.8074899E-03  0.0000000E+00
  1.4637935E+02  1.3221974E-02 -5.6210859E-07 -1.0798453E-04  1.8074871E-03  0.0000000E+00
  1.4637935E+02  1.3353920E-02 -5.7352117E-07 -1.0903371E-04  1.8074843E-03  0.0000000E+00
  1.4637935E+02  1.3486261E-02 -5.8507812E-07 -1.1008547E-04  1.8074815E-03  0.0000000E+00
  1.4637935E+02  1.3618205E-02 -5.9671053E-07 -1.1113351E-04  1.8074788E-03  0.0000000E+00
  1.4637935E+02  1.3750544E-02 -6.0848696E-07 -1.1218412E-04  1.8074760E-03  0.0000000E+00
  1.4637935E+02  1.3882486E-02 -6.2033785E-07 -1.1323102E-04  1.8074732E-03  0.0000000E+00
  1.4637935E+02  1.4014823E-02 -6.3233383E-07 -1.1428048E-04  1.8074704E-03  0.0000000E+00
  1.4637935E+02  1.4146763E-02 -6.4440299E-07 -1.1532623E-04  1.8074677E-03  0.0000000E+00
  1.4637935E+02  1.4279098E-02 -6.5661762E-07 -1.1637455E-04  1.8074649E-03  0.0000000E+00
  1.4637935E+02  1.4411431E-02 -6.6894153E-07 -1.1742229E-04  1.8074621E-03  0.0000000E+00
  1.4637935E+02  1.4543368E-02 -6.8133714E-07 -1.1846632E-04  1.8074594E-03  0.0000000E+00
  1.4637935E+02  1.4675700E-02 -6.9387873E-07 -1.1951292E-04  1.8074566E-03  0.0000000E+00
  1.4637935E+02  1.4807634E-02 -7.0649112E-07 -1.2055581E-04  1.8074539E-03  0.0000000E+00
  1.4637935E+02  1.4939963E-02 -7.1925042E-07 -1.2160125E-04  1.8074511E-03  0.0000000E+00
  1.4637935E+02  1.5071896E-02 -7.3207902E-07 -1.2264300E-04  1.8074484E-03  0.0000000E+00
  1.4637935E+02  1.5204223E-02 -7.4505377E-07 -1.2368729E-04  1.8074456E-03  0.0000000E+00
  1.4637935E+02  1.5336153E-02 -7.5809798E-07 -1.2472789E-04  1.8074429E-03  0.0000000E+00
  1.4637935E+02  1.5468478E-02 -7.7128924E-07 -1.2577104E-04  1.8074401E-03  0.0000000E+00
  1.4637935E+02  1.5600803E-02 -7.8458839E-07 -1.2681362E-04  1.8074374E-03  0.0000000E+00
  1.4637935E+02  1.5732730E-02 -7.9795505E-07 -1.2785250E-04  1.8074347E-03  0.0000000E+00
  1.4637935E+02  1.5865052E-02 -8.1146927E-07 -1.2889393E-04  1.8074319E-03  0.0000000E+00
  1.4637935E+02  1.5996976E-02 -8.2505004E-07 -1.2993166E-04  1.8074292E-03  0.0000000E+00
  1.4637935E+02  1.6129296E-02 -8.3877877E-07 -1.3097194E-04  1.8074265E-03  0.0000000E+00
  1.4637935E+02  1.6261219E-02 -8.5257307E-07 -1.3200853E-04  1.8074238E-03  0.0000000E+00
  1.4637935E+02  1.6393537E-02 -8.6651564E-07 -1.3304766E-04  1.8074210E-03  0.0000000E+00
  1.4637935E+02  1.6525457E-02 -8.8052289E-07 -1.3408311E-04  1.8074183E-03  0.0000000E+00
  1.4637935E+02  1.6657773E-02 -8.9467879E-07 -1.3512109E-04  1.8074156E-03  0.0000000E+00
  1.4637935E+02  1.6790087E-02 -9.0894125E-07 -1.3615850E-04  1.8074129E-03  0.0000000E+00
  1.4637935E+02  1.6922004E-02 -9.2326695E-07 -1.3719223E-04  1.8074102E-03  0.0000000E+00
  1.4637935E+02  1.7054317E-02 -9.3774183E-07 -1.3822849E-04  1.8074074E-03  0.0000000E+00
  1.4637935E+02  1.7186232E-02 -9.5227900E-07 -1.3926107E-04  1.8074047E-03  0.0000000E+00
  1.4637935E+02  1.7318542E-02 -9.6696567E-07 -1.4029619E-04  1.8074020E-03  0.0000000E+00
  1.4637935E+02  1.7450455E-02 -9.8171374E-07 -1.4132763E-04  1.8073993E-03  0.0000000E+00
  1.4637935E+02  1.7582763E-02 -9.9661166E-07 -1.4236159E-04  1.8073966E-03  0.0000000E+00
  1.4637935E+02  1.7714674E-02 -1.0115700E-06 -1.4339189E-04  1.8073939E-03  0.0000000E+00
  1.4637935E+02  1.7846979E-02 -1.0266785E-06 -1.4442470E-04  1.8073912E-03  0.0000000E+00
  1.4637935E+02  1.7979284E-02 -1.0418923E-06 -1.4545694E-04  1.8073885E-03  0.0000000E+00
  1.4637935E+02  1.8111192E-02 -1.0571652E-06 -1.4648552E-04  1.8073858E-03  0.0000000E+00
  1.4637935E+02  1.8243494E-02 -1.0725895E-06 -1.4751661E-04  1.8073831E-03  0.0000000E+00
  1.4637935E+02  1.8375399E-02 -1.0880704E-06 -1.4854404E-04  1.8073804E-03  0.0000000E+00
  1.4637935E+02  1.8507700E-02 -1.1037030E-06 -1.4957399E-04  1.8073778E-03  0.0000000E+00
  1.4637935E+02  1.8639603E-02 -1.1193938E-06 -1.5060028E-04  1.8073751E-03  0.0000000E+00
  1.4637935E+02  1.8771901E-02 -1.1352342E-06 -1.5162907E-04  1.8073724E-03  0.0000000E+00
  1.4637935E+02  1.8903802E-02 -1.1511317E-06 -1.5265422E-04  1.8073697E-03  0.0000000E+00
  1.4637935E+02  1.9036098E-02 -1.1671810E-06 -1.5368187E-04  1.8073670E-03  0.0000000E+00
  1.4637935E+02  1.9168392E-02 -1.1833341E-06 -1.5470894E-04  1.8073643E-03  0.0000000E+00
  1.4637935E+02  1.9300290E-02 -1.1995431E-06 -1.5573237E-04  1.8073617E-03  0.0000000E+00
  1.4637935E+02  1.9432583E-02 -1.2159024E-06 -1.5675829E-04  1.8073590E-03  0.0000000E+00
  1.4637935E+02  1.9564478E-02 -1.2323167E-06 -1.5778058E-04  1.8073563E-03  0.0000000E+00
  1.4637935E+02  1.9696768E-02 -1.2488835E-06 -1.5880536E-04  1.8073536E-03  0.0000000E+00
  1.4637935E+02  1.9828662E-02 -1.2655033E-06 -1.5982649E-04  1.8073510E-03  0.0000000E+00
  1.4637935E+02  1.9960950E-02 -1.2822760E-06 -1.6085012E-04  1.8073483E-03  0.0000000E+00
  1.4637935E+02  2.0092841E-02 -1.2991018E-06 -1.6187012E-04  1.8073456E-03  0.0000000E+00
  1.4637935E+02  2.0225127E-02 -1.3160789E-06 -1.6289260E-04  1.8073430E-03  0.0000000E+00
  1.4637935E+02  2.0357411E-02 -1.3331595E-06 -1.6391451E-04  1.8073403E-03  0.0000000E+00
  1.4637935E+02  2.0489299E-02 -1.3502910E-06 -1.6493279E-04  1.8073376E-03  0.0000000E+00
  1.4637935E+02  2.0621581E-02 -1.3675760E-06 -1.6595355E-04  1.8073350E-03  0.0000000E+00
  1.4637935E+02  2.0753467E-02 -1.3849111E-06 -1.6697068E-04  1.8073323E-03  0.0000000E+00
  1.4637935E+02  2.0885747E-02 -1.4024000E-06 -1.6799029E-04  1.8073297E-03  0.0000000E+00
  1.4637935E+02  2.1017630E-02 -1.4199380E-06 -1.6900628E-04  1.8073270E-03  0.0000000E+00
  1.4637935E+02  2.1149908E-02 -1.4376302E-06 -1.7002475E-04  1.8073244E-03  0.0000000E+00
