          atime           conv           prod        pres_tr        pres_df        garbage
  2.0963200E+02 -5.6961550E-07  0.0000000E+00  0.0000000E+00  6.7204335E-05  4.5073019E-05
  2.0963200E+02 -5.6677699E-07  3.5584727E-07  5.6618574E-06  7.2318194E-05  4.4790822E-05
  2.0963200E+02 -5.6393584E-07  7.0804579E-07  1.1313828E-05  7.7424491E-05  4.4509699E-05
  2.0963200E+02 -5.6109167E-07  1.0566731E-06  1.6956768E-05  8.2523996E-05  4.4229603E-05
  2.0963200E+02 -5.5824565E-07  1.4016192E-06  2.2588492E-05  8.7614728E-05  4.3950643E-05
  2.0963200E+02 -5.5539621E-07  1.7431056E-06  2.8212219E-05  9.2699594E-05  4.3672656E-05
  2.0963200E+02 -5.5254511E-07  2.0809527E-06  3.3824590E-05  9.7775550E-05  4.3395807E-05
  2.0963200E+02 -5.4969069E-07  2.4153882E-06  3.9428982E-05  1.0284565E-04  4.3119928E-05
  2.0963200E+02 -5.4683471E-07  2.7462366E-06  4.5022044E-05  1.0790685E-04  4.2845181E-05
  2.0963200E+02 -5.4397552E-07  3.0737214E-06  5.0607144E-05  1.1296220E-04  4.2571399E-05
  2.0963200E+02 -5.4111402E-07  3.3977677E-06  5.6182613E-05  1.1801018E-04  4.2298662E-05
  2.0963200E+02 -5.3825113E-07  3.7183049E-06  6.1746796E-05  1.2304930E-04  4.2027049E-05
  2.0963200E+02 -5.3538518E-07  4.0355501E-06  6.7303041E-05  1.2808257E-04  4.1756396E-05
  2.0963200E+02 -5.3251794E-07  4.3493381E-06  7.2848028E-05  1.3310698E-04  4.1486861E-05
  2.0963200E+02 -5.2964773E-07  4.6598818E-06  7.8385093E-05  1.3812557E-04  4.1218280E-05
  2.0963200E+02 -5.2677634E-07  4.9670200E-06  8.3910928E-05  1.4313531E-04  4.0950813E-05
  2.0963200E+02 -5.2390210E-07  5.2709615E-06  8.9428858E-05  1.4813922E-04  4.0684297E-05
  2.0963200E+02 -5.2102677E-07  5.5715489E-06  9.4935587E-05  1.5313431E-04  4.0418888E-05
  2.0963200E+02 -5.1814868E-07  5.8689871E-06  1.0043443E-04  1.5812358E-04  4.0154426E-05
  2.0963200E+02 -5.1526875E-07  6.1632104E-06  1.0592374E-04  1.6310553E-04  3.9890987E-05
  2.0963200E+02 -5.1238789E-07  6.4541565E-06  1.1140189E-04  1.6807869E-04  3.9628648E-05
  2.0963200E+02 -5.0950443E-07  6.7420246E-06  1.1687217E-04  1.7304603E-04  3.9367249E-05
  2.0963200E+02 -5.0662014E-07  7.0266667E-06  1.2233133E-04  1.7800459E-04  3.9106944E-05
  2.0963200E+02 -5.0373334E-07  7.3082781E-06  1.2778264E-04  1.8295734E-04  3.8847576E-05
  2.0963200E+02 -5.0084581E-07  7.5867144E-06  1.3322284E-04  1.8790133E-04  3.8589296E-05
  2.0963200E+02 -4.9795588E-07  7.8621672E-06  1.3865521E-04  1.9283952E-04  3.8331948E-05
  2.0963200E+02 -4.9506532E-07  8.1344958E-06  1.4407651E-04  1.9776895E-04  3.8075684E-05
  2.0963200E+02 -4.9217245E-07  8.4038879E-06  1.4948999E-04  2.0269260E-04  3.7820348E-05
  2.0963200E+02 -4.8927819E-07  8.6702858E-06  1.5489404E-04  2.0760898E-04  3.7566013E-05
  2.0963200E+02 -4.8638346E-07  8.9336355E-06  1.6028706E-04  2.1251663E-04  3.7312755E-05
  2.0963200E+02 -4.8348396E-07  9.1943522E-06  1.6567713E-04  2.1742290E-04  3.7060191E-05
  2.0963200E+02 -4.8059103E-07  9.4514515E-06  1.7104329E-04  2.2230872E-04  3.6809302E-05
  2.0963200E+02 -4.7768821E-07  9.7064236E-06  1.7641618E-04  2.2720197E-04  3.6558652E-05
  2.0963200E+02 -4.7479294E-07  9.9577658E-06  1.8176362E-04  2.3207334E-04  3.6309742E-05
  2.0963200E+02 -4.7188787E-07  1.0207012E-05  1.8711775E-04  2.3695210E-04  3.6061073E-05
  2.0963200E+02 -4.6899046E-07  1.0452694E-05  1.9244651E-04  2.4180905E-04  3.5814132E-05
  2.0963200E+02 -4.6608334E-07  1.0696311E-05  1.9778193E-04  2.4667336E-04  3.5567434E-05
  2.0963200E+02 -4.6317526E-07  1.0937145E-05  2.0310799E-04  2.5153043E-04  3.5321720E-05
  2.0963200E+02 -4.6027499E-07  1.1174513E-05  2.0840881E-04  2.5636578E-04  3.5077718E-05
  2.0963200E+02 -4.5736514E-07  1.1409864E-05  2.1371623E-04  2.6120843E-04  3.4833961E-05
  2.0963200E+02 -4.5446321E-07  1.1641812E-05  2.1899848E-04  2.6602940E-04  3.4591906E-05
  2.0963200E+02 -4.5155179E-07  1.1871774E-05  2.2428730E-04  2.7085765E-04  3.4350096E-05
  2.0963200E+02 -4.4864837E-07  1.2098399E-05  2.2955102E-04  2.7566428E-04  3.4109978E-05
  2.0963200E+02 -4.4573557E-07  1.2323070E-05  2.3482128E-04  2.8047816E-04  3.3870107E-05
  2.0963200E+02 -4.4283087E-07  1.2544466E-05  2.4006653E-04  2.8527046E-04  3.3631918E-05
  2.0963200E+02 -4.3991687E-07  1.2763941E-05  2.4531828E-04  2.9006998E-04  3.3393976E-05
