           Step           Time            aaa            bbb            ccc            ddd
  3.0000000E+00  1.4512714E-02  2.0837243E-01  2.0837243E-01  2.0837243E-01  2.0837243E-01
  5.0000000E+00  2.4187856E-02  4.1164573E-02  4.1164573E-02  4.1164573E-02  4.1164573E-02
  7.0000000E+00  3.3862998E-02  1.3544793E-02  1.3544793E-02  1.3544793E-02  1.3544793E-02
