          atime             vx             vy             vz             pr        garbage
  7.8507600E+01  4.3750097E-01 -5.9314279E-02 -6.4276497E-03  2.1151866E-02  0.0000000E+00
  7.8507600E+01  4.6073608E-01 -6.0760086E-02 -5.7881745E-03  2.2856523E-02  0.0000000E+00
  7.8507600E+01  4.8485077E-01 -6.1792429E-02 -5.1620664E-03  2.4916951E-02  0.0000000E+00
  7.8507600E+01  5.0970319E-01 -6.2482097E-02 -4.4877818E-03  2.7147840E-02  0.0000000E+00
  7.8507600E+01  5.3507780E-01 -6.2928950E-02 -3.7009275E-03  2.9378592E-02  0.0000000E+00
  7.8507600E+01  5.6027052E-01 -6.3121772E-02 -2.4016870E-03  3.1411691E-02  0.0000000E+00
  7.8507600E+01  5.8495261E-01 -6.2998789E-02 -2.8144374E-04  3.3103858E-02  0.0000000E+00
  7.8507600E+01  6.0894918E-01 -6.2509369E-02  2.5732552E-03  3.4365519E-02  0.0000000E+00
  7.8507600E+01  6.3204856E-01 -6.1683441E-02  5.6561279E-03  3.5155943E-02  0.0000000E+00
  7.8507600E+01  6.5454754E-01 -6.0624506E-02  8.4881886E-03  3.5497358E-02  0.0000000E+00
  7.8507600E+01  6.7614398E-01 -5.9477462E-02  1.1096259E-02  3.5438315E-02  0.0000000E+00
  7.8507600E+01  6.9671524E-01 -5.8348936E-02  1.3680990E-02  3.5038770E-02  0.0000000E+00
  7.8507600E+01  7.1633842E-01 -5.7229238E-02  1.6300959E-02  3.4345379E-02  0.0000000E+00
  7.8507600E+01  7.3484487E-01 -5.6072046E-02  1.9129268E-02  3.3412459E-02  0.0000000E+00
  7.8507600E+01  7.5212338E-01 -5.4839267E-02  2.2283474E-02  3.2291359E-02  0.0000000E+00
  7.8507600E+01  7.6804481E-01 -5.3540944E-02  2.5619952E-02  3.1036096E-02  0.0000000E+00
  7.8507600E+01  7.8279204E-01 -5.2204660E-02  2.8828632E-02  2.9693867E-02  0.0000000E+00
  7.8507600E+01  7.9647034E-01 -5.0852947E-02  3.1535346E-02  2.8335093E-02  0.0000000E+00
  7.8507600E+01  8.0940240E-01 -4.9385439E-02  3.3589441E-02  2.6995031E-02  0.0000000E+00
  7.8507600E+01  8.2202210E-01 -4.7678718E-02  3.5105018E-02  2.5729249E-02  0.0000000E+00
  7.8507600E+01  8.3410695E-01 -4.5884422E-02  3.6171486E-02  2.4545048E-02  0.0000000E+00
  7.8507600E+01  8.4526013E-01 -4.4267431E-02  3.6817316E-02  2.3463079E-02  0.0000000E+00
  7.8507600E+01  8.5537787E-01 -4.2910150E-02  3.7041027E-02  2.2475640E-02  0.0000000E+00
  7.8507600E+01  8.6455182E-01 -4.1787894E-02  3.6835306E-02  2.1586097E-02  0.0000000E+00
