          atime         pst_uu         pst_vv         pst_ww         pm1avg           tavg
  7.8507600E+01  1.5083964E-02 -1.0990109E-02 -4.0992073E-03  3.6322106E-02  0.0000000E+00
  7.8507600E+01  1.6207408E-02 -1.0510059E-02 -5.6973021E-03  3.5532263E-02  0.0000000E+00
  7.8507600E+01  1.7041509E-02 -9.4502269E-03 -7.5842655E-03  3.4808192E-02  0.0000000E+00
  7.8507600E+01  1.7709199E-02 -8.0245675E-03 -9.6728010E-03  3.4146943E-02  0.0000000E+00
  7.8507600E+01  1.8337420E-02 -6.4493564E-03 -1.1876575E-02  3.3543356E-02  0.0000000E+00
  7.8507600E+01  1.9052811E-02 -4.9111114E-03 -1.4125121E-02  3.2989523E-02  0.0000000E+00
  7.8507600E+01  1.9970491E-02 -3.5902887E-03 -1.6365783E-02  3.2477137E-02  0.0000000E+00
  7.8507600E+01  2.1211276E-02 -2.6438138E-03 -1.8554162E-02  3.1997416E-02  0.0000000E+00
  7.8507600E+01  2.2837460E-02 -2.1808767E-03 -2.0650473E-02  3.1542068E-02  0.0000000E+00
  7.8507600E+01  2.4818965E-02 -2.1979090E-03 -2.2622335E-02  3.1102655E-02  0.0000000E+00
  7.8507600E+01  2.7074090E-02 -2.6455346E-03 -2.4437401E-02  3.0672934E-02  0.0000000E+00
  7.8507600E+01  2.9581249E-02 -3.5182140E-03 -2.6078284E-02  3.0246408E-02  0.0000000E+00
  7.8507600E+01  3.2471683E-02 -4.9349971E-03 -2.7546336E-02  2.9816822E-02  0.0000000E+00
  7.8507600E+01  3.5985139E-02 -7.1306553E-03 -2.8867633E-02  2.9381119E-02  0.0000000E+00
  7.8507600E+01  4.0160292E-02 -1.0023553E-02 -3.0129070E-02  2.8937767E-02  0.0000000E+00
  7.8507600E+01  4.4856512E-02 -1.3421393E-02 -3.1425828E-02  2.8487134E-02  0.0000000E+00
  7.8507600E+01  4.9768222E-02 -1.6876743E-02 -3.2877703E-02  2.8033538E-02  0.0000000E+00
  7.8507600E+01  5.4695343E-02 -2.0059750E-02 -3.4620838E-02  2.7580725E-02  0.0000000E+00
  7.8507600E+01  5.9575524E-02 -2.2817524E-02 -3.6746948E-02  2.7133905E-02  0.0000000E+00
  7.8507600E+01  6.4423866E-02 -2.5163797E-02 -3.9253078E-02  2.6701353E-02  0.0000000E+00
  7.8507600E+01  6.9292114E-02 -2.7250830E-02 -4.2039780E-02  2.6290318E-02  0.0000000E+00
  7.8507600E+01  7.4239492E-02 -2.9312839E-02 -4.4917788E-02  2.5907203E-02  0.0000000E+00
  7.8507600E+01  7.9303593E-02 -3.1544483E-02 -4.7754409E-02  2.5558555E-02  0.0000000E+00
  7.8507600E+01  8.4582694E-02 -3.4178907E-02 -5.0392570E-02  2.5251885E-02  0.0000000E+00
  7.8507600E+01  8.9922032E-02 -3.7167406E-02 -5.2741187E-02  2.4992419E-02  0.0000000E+00
  7.8507600E+01  9.5137468E-02 -4.0424722E-02 -5.4702022E-02  2.4786233E-02  0.0000000E+00
  7.8507600E+01  1.0007456E-01 -4.3842472E-02 -5.6223852E-02  2.4638669E-02  0.0000000E+00
  7.8507600E+01  1.0456530E-01 -4.7231823E-02 -5.7327589E-02  2.4554686E-02  0.0000000E+00
  7.8507600E+01  1.0849691E-01 -5.0393234E-02 -5.8098677E-02  2.4535936E-02  0.0000000E+00
  7.8507600E+01  1.1178638E-01 -5.3228082E-02 -5.8542135E-02  2.4582006E-02  0.0000000E+00
  7.8507600E+01  1.1422824E-01 -5.5697777E-02 -5.8517118E-02  2.4690461E-02  0.0000000E+00
  7.8507600E+01  1.1575134E-01 -5.7873008E-02 -5.7865755E-02  2.4857585E-02  0.0000000E+00
  7.8507600E+01  1.1628259E-01 -5.9698720E-02 -5.6576328E-02  2.5076332E-02  0.0000000E+00
  7.8507600E+01  1.1545741E-01 -6.0720164E-02 -5.4732301E-02  2.5333599E-02  0.0000000E+00
  7.8507600E+01  1.1301535E-01 -6.0508881E-02 -5.2498405E-02  2.5618114E-02  0.0000000E+00
  7.8507600E+01  1.0895133E-01 -5.8828003E-02 -5.0115126E-02  2.5917972E-02  0.0000000E+00
