          atime         tdf_uu         tdf_vv         tdf_ww         pm1avg           tavg
  2.0799350E+02 -7.3152717E-04  5.9155460E-05  1.4575739E-04 -1.6592342E-02  0.0000000E+00
  2.0799350E+02 -6.2733544E-04  1.7929263E-04  4.1983358E-04 -1.6033649E-02  0.0000000E+00
  2.0799350E+02 -4.8615243E-04  2.2907383E-04  6.5020755E-04 -1.5488873E-02  0.0000000E+00
  2.0799350E+02 -3.7294199E-04  2.2775560E-04  7.1039996E-04 -1.4960795E-02  0.0000000E+00
  2.0799350E+02 -3.1059730E-04  2.3357025E-04  6.1207604E-04 -1.4448522E-02  0.0000000E+00
  2.0799350E+02 -2.8368582E-04  2.9401954E-04  4.2485177E-04 -1.3954389E-02  0.0000000E+00
  2.0799350E+02 -2.5014889E-04  4.2364951E-04  2.2435384E-04 -1.3477196E-02  0.0000000E+00
  2.0799350E+02 -1.6010109E-04  6.0254412E-04  6.4300687E-05 -1.3015156E-02  0.0000000E+00
  2.0799350E+02  2.3464542E-05  7.8684620E-04 -3.2703642E-05 -1.2568524E-02  0.0000000E+00
  2.0799350E+02  3.0872423E-04  9.3039726E-04 -7.4070819E-05 -1.2134223E-02  0.0000000E+00
  2.0799350E+02  6.6193131E-04  1.0028945E-03 -8.4615907E-05 -1.1712648E-02  0.0000000E+00
  2.0799350E+02  1.0116713E-03  1.0067097E-03 -9.2829436E-05 -1.1302395E-02  0.0000000E+00
  2.0799350E+02  1.2639562E-03  9.7860897E-04 -1.1776988E-04 -1.0902713E-02  0.0000000E+00
  2.0799350E+02  1.3376942E-03  9.7493235E-04 -1.6265927E-04 -1.0515254E-02  0.0000000E+00
  2.0799350E+02  1.2286676E-03  1.0308539E-03 -2.2028044E-04 -1.0139014E-02  0.0000000E+00
  2.0799350E+02  1.0968894E-03  1.0891142E-03 -2.9448928E-04 -9.7712642E-03  0.0000000E+00
  2.0799350E+02  1.2920393E-03  9.7457930E-04 -3.9369212E-04 -9.4110534E-03  0.0000000E+00
  2.0799350E+02  1.3541612E-03  1.0003763E-03 -3.0066644E-04 -9.0619972E-03  0.0000000E+00
  2.0799350E+02  1.2741485E-03  1.0801001E-03 -1.6654227E-04 -8.7199815E-03  0.0000000E+00
  2.0799350E+02  1.1592968E-03  1.1311484E-03 -7.0715540E-05 -8.3848788E-03  0.0000000E+00
  2.0799350E+02  1.0604358E-03  1.1267408E-03 -1.6465580E-05 -8.0557821E-03  0.0000000E+00
  2.0799350E+02  9.9812316E-04  1.0699728E-03  2.2869082E-05 -7.7333888E-03  0.0000000E+00
  2.0799350E+02  9.7795530E-04  9.7614413E-04  7.5547044E-05 -7.4162857E-03  0.0000000E+00
  2.0799350E+02  1.0007153E-03  8.6305689E-04  1.5555823E-04 -7.1057605E-03  0.0000000E+00
  2.0799350E+02  1.0657450E-03  7.4511718E-04  2.5911806E-04 -6.8017851E-03  0.0000000E+00
  2.0799350E+02  1.1713480E-03  6.3282458E-04  3.6819302E-04 -6.5046502E-03  0.0000000E+00
  2.0799350E+02  1.3116478E-03  5.3481146E-04  4.5816342E-04 -6.2163099E-03  0.0000000E+00
  2.0799350E+02  1.4749742E-03  4.5878095E-04  5.0915379E-04 -5.9369508E-03  0.0000000E+00
  2.0799350E+02  1.6418124E-03  4.1368209E-04  5.1389247E-04 -5.6664618E-03  0.0000000E+00
  2.0799350E+02  1.7848577E-03  4.0881098E-04  4.8227408E-04 -5.4056889E-03  0.0000000E+00
  2.0799350E+02  1.8765289E-03  4.4853430E-04  4.3811997E-04 -5.1530684E-03  0.0000000E+00
