          atime            tkk            imb            div        garbage        garbage
  2.0139100E+02  8.5060169E-03  7.5336334E-05 -5.5333128E-05  2.9962588E-03 -1.1199115E-04
  2.0139100E+02  8.4224159E-03  7.8359660E-05 -4.7361714E-05  2.9048309E-03 -4.9585681E-05
  2.0139100E+02  8.3443183E-03  6.2491039E-05 -4.9125292E-05  2.8198889E-03  1.0990342E-05
  2.0139100E+02  8.2720455E-03  1.7603083E-05 -6.5473132E-05  2.7417726E-03  5.8326190E-05
  2.0139100E+02  8.2052753E-03 -5.2363226E-05 -9.2387084E-05  2.6702699E-03  8.4661087E-05
  2.0139100E+02  8.1422567E-03 -1.2365320E-04 -1.1753636E-04  2.6044374E-03  8.9570328E-05
  2.0139100E+02  8.0802341E-03 -1.5829258E-04 -1.2515798E-04  2.5434733E-03  8.1183526E-05
  2.0139100E+02  8.0141915E-03 -1.3612129E-04 -1.0928962E-04  2.4852445E-03  7.1629185E-05
  2.0139100E+02  7.9397743E-03 -1.2095559E-04 -9.6137876E-05  2.4281200E-03  6.2036298E-05
  2.0139100E+02  7.8590089E-03 -3.8149827E-04 -1.8041734E-04  2.3734040E-03  1.2257786E-05
  2.0139100E+02  7.7851215E-03 -1.2408375E-04 -6.9057448E-05  2.3208375E-03  9.0984342E-06
  2.0139100E+02  7.6972024E-03  2.8524006E-05 -4.6026411E-05  2.2650425E-03 -1.2928529E-06
  2.0139100E+02  7.6077677E-03  9.7787220E-05 -4.7284585E-05  2.2055357E-03 -2.7264123E-05
  2.0139100E+02  7.5212495E-03  1.1881877E-04 -4.6491921E-05  2.1429594E-03 -6.4667686E-05
  2.0139100E+02  7.4377959E-03  1.2284998E-04 -3.9210065E-05  2.0786977E-03 -1.0440444E-04
  2.0139100E+02  7.3559266E-03  1.2826451E-04 -3.0369215E-05  2.0143604E-03 -1.3771577E-04
  2.0139100E+02  7.2752092E-03  1.3821532E-04 -2.5856498E-05  1.9521117E-03 -1.5895907E-04
  2.0139100E+02  7.1953215E-03  1.4424201E-04 -2.7791666E-05  1.8929913E-03 -1.6725903E-04
  2.0139100E+02  7.1177235E-03  1.3366757E-04 -3.3679825E-05  1.8380488E-03 -1.6523638E-04
  2.0139100E+02  7.0440096E-03  9.9064834E-05 -3.8187791E-05  1.7875319E-03 -1.5739940E-04
  2.0139100E+02  6.9750381E-03  4.6329206E-05 -3.6814953E-05  1.7411334E-03 -1.4767622E-04
  2.0139100E+02  6.9094544E-03 -3.2798459E-06 -2.9808378E-05  1.6979982E-03 -1.3740669E-04
  2.0139100E+02  6.8431088E-03 -2.1752548E-05 -2.4180727E-05  1.6572128E-03 -1.2511554E-04
  2.0139100E+02  6.7698536E-03  5.1264709E-07 -3.1579492E-05  1.6187086E-03 -1.0960096E-04
  2.0139100E+02  6.6843168E-03  4.3204474E-06 -5.8537920E-05  1.5843765E-03 -9.8179274E-05
  2.0139100E+02  6.5864603E-03 -2.2079693E-04 -8.6053157E-05  1.5591154E-03 -1.2202232E-04
  2.0139100E+02  6.4938038E-03 -4.0027901E-05 -7.0665093E-05  1.5206060E-03 -1.0265521E-04
  2.0139100E+02  6.3818364E-03  6.0196170E-05 -6.5287312E-05  1.4881070E-03 -1.0181878E-04
  2.0139100E+02  6.2635690E-03  1.0253192E-04 -5.7426481E-05  1.4614283E-03 -1.0797043E-04
  2.0139100E+02  6.1461381E-03  1.1233738E-04 -4.6716939E-05  1.4395276E-03 -1.1418923E-04
  2.0139100E+02  6.0332487E-03  1.0990649E-04 -3.7384913E-05  1.4207563E-03 -1.1722629E-04
  2.0139100E+02  5.9252963E-03  1.0693356E-04 -3.3246195E-05  1.4028288E-03 -1.1653793E-04
  2.0139100E+02  5.8214762E-03  1.0624497E-04 -3.5406344E-05  1.3832623E-03 -1.1314208E-04
  2.0139100E+02  5.7206556E-03  1.0431945E-04 -4.1927354E-05  1.3596861E-03 -1.0860570E-04
  2.0139100E+02  5.6214413E-03  9.5451278E-05 -4.9117373E-05  1.3300454E-03 -1.0413996E-04
  2.0139100E+02  5.5230917E-03  7.6314667E-05 -5.3580763E-05  1.2930234E-03 -1.0003754E-04
  2.0139100E+02  5.4257384E-03  4.9570117E-05 -5.4257625E-05  1.2484678E-03 -9.5526932E-05
  2.0139100E+02  5.3291324E-03  2.4138355E-05 -5.3358935E-05  1.1971260E-03 -8.9172233E-05
  2.0139100E+02  5.2333123E-03  1.1107500E-05 -5.4917878E-05  1.1411713E-03 -8.0126200E-05
  2.0139100E+02  5.1379977E-03  1.1937036E-05 -5.9611306E-05  1.0842457E-03 -7.0351587E-05
  2.0139100E+02  5.0408651E-03 -3.2322905E-06 -5.4259890E-05  1.0305800E-03 -6.7884989E-05
  2.0139100E+02  4.9381903E-03 -1.2950903E-04  5.6296497E-06  9.8527014E-04 -9.1636427E-05
  2.0139100E+02  4.8404391E-03 -1.2769863E-05 -2.9093376E-05  9.4118877E-04 -7.2885445E-05
  2.0139100E+02  4.7312649E-03  4.1565977E-05 -9.2746866E-06  8.9745654E-04 -8.0575217E-05
  2.0139100E+02  4.6194167E-03  6.1882410E-05  1.8276295E-05  8.5380810E-04 -9.2922263E-05
  2.0139100E+02  4.5082573E-03  6.7285658E-05  3.2283177E-05  8.1044331E-04 -9.9141859E-05
  2.0139100E+02  4.3977498E-03  6.8645226E-05  2.8310990E-05  7.6741606E-04 -9.6152637E-05
  2.0139100E+02  4.2879005E-03  7.0216188E-05  1.1402299E-05  7.2505455E-04 -8.5622798E-05
  2.0139100E+02  4.1781821E-03  7.1782610E-05 -9.7390383E-06  6.8323139E-04 -7.1451282E-05
  2.0139100E+02  4.0685983E-03  7.0915807E-05 -2.7045697E-05  6.4163009E-04 -5.7734637E-05
  2.0139100E+02  3.9607602E-03  6.5119934E-05 -3.5491725E-05  6.0026165E-04 -4.7544408E-05
  2.0139100E+02  3.8557964E-03  5.3537037E-05 -3.4520739E-05  5.5895321E-04 -4.1907817E-05
  2.0139100E+02  3.7547157E-03  3.7838404E-05 -2.7504018E-05  5.1782569E-04 -3.9808109E-05
  2.0139100E+02  3.6575147E-03  2.1941701E-05 -2.0019958E-05  4.7723036E-04 -3.8726841E-05
  2.0139100E+02  3.5635335E-03  1.0303618E-05 -1.6884275E-05  4.3800618E-04 -3.5949758E-05
  2.0139100E+02  3.4706934E-03  3.9470238E-06 -1.7886252E-05  4.0091554E-04 -3.0632464E-05
  2.0139100E+02  3.3772991E-03 -5.6337984E-06 -1.2690638E-05  3.6663162E-04 -2.6674660E-05
  2.0139100E+02  3.2832977E-03 -4.5614184E-05  2.5127762E-05  3.3485426E-04 -3.6364906E-05
  2.0139100E+02  3.1959341E-03 -2.9406576E-06 -8.3803558E-06  3.0180597E-04 -3.4893309E-05
  2.0139100E+02  3.1065977E-03  2.5132001E-05 -1.2349295E-05  2.7208205E-04 -3.9091122E-05
  2.0139100E+02  3.0206607E-03  3.9343720E-05 -8.6315610E-06  2.4448787E-04 -4.4868613E-05
  2.0139100E+02  2.9401033E-03  4.4160265E-05 -5.8269380E-06  2.1847757E-04 -4.9604542E-05
  2.0139100E+02  2.8648984E-03  4.4359358E-05 -5.4291272E-06  1.9385608E-04 -5.2149557E-05
  2.0139100E+02  2.7945014E-03  4.3262420E-05 -6.0679458E-06  1.7071642E-04 -5.2551210E-05
  2.0139100E+02  2.7276919E-03  4.2188511E-05 -6.0654519E-06  1.4902229E-04 -5.1643635E-05
  2.0139100E+02  2.6639247E-03  4.0817337E-05 -4.6378284E-06  1.2884083E-04 -5.0520232E-05
  2.0139100E+02  2.6027368E-03  3.8078544E-05 -2.0755135E-06  1.1007060E-04 -5.0024817E-05
  2.0139100E+02  2.5442060E-03  3.3216743E-05  7.2920574E-07  9.2608614E-05 -5.0363221E-05
  2.0139100E+02  2.4888194E-03  2.6627339E-05  3.0136064E-06  7.6384559E-05 -5.0917830E-05
  2.0139100E+02  2.4370229E-03  2.0003785E-05  4.7574121E-06  6.1332395E-05 -5.0386447E-05
  2.0139100E+02  2.3894723E-03  1.5495364E-05  6.7105245E-06  4.7558448E-05 -4.7347665E-05
  2.0139100E+02  2.3462607E-03  1.3282425E-05  9.4953495E-06  3.5166820E-05 -4.1309672E-05
  2.0139100E+02  2.3077348E-03  7.3985981E-06  1.1252876E-05  2.4464743E-05 -3.4483249E-05
  2.0139100E+02  2.2738566E-03 -2.0916511E-05  3.5480200E-06  1.5635127E-05 -3.4133627E-05
