          atime            tkk            imb            div        garbage        garbage
  5.2507600E+01  3.2420933E-02 -1.0648510E-03 -5.7543335E-04 -2.4588491E-03  2.2441976E-02
  5.2507600E+01  3.2432884E-02 -1.0161735E-03 -5.7192477E-04 -1.8685176E-03  2.2009910E-02
  5.2507600E+01  3.2440872E-02 -1.0507533E-03 -5.8730331E-04 -1.2602237E-03  2.1538713E-02
  5.2507600E+01  3.2446279E-02 -9.1626347E-04 -6.1930846E-04 -6.3491658E-04  2.1060273E-02
  5.2507600E+01  3.2449314E-02 -9.3630196E-04 -6.5194001E-04 -8.3321110E-06  2.0532447E-02
  5.2507600E+01  3.2452063E-02 -1.0565737E-03 -6.8651730E-04  6.0235651E-04  1.9960333E-02
  5.2507600E+01  3.2454884E-02 -1.1381752E-03 -7.1843157E-04  1.1879085E-03  1.9356251E-02
  5.2507600E+01  3.2457621E-02 -1.1211315E-03 -7.4192505E-04  1.7449905E-03  1.8722375E-02
  5.2507600E+01  3.2459201E-02 -1.0016554E-03 -7.5163457E-04  2.2713794E-03  1.8057119E-02
  5.2507600E+01  3.2458747E-02 -8.0231232E-04 -7.4380448E-04  2.7667687E-03  1.7359103E-02
  5.2507600E+01  3.2455503E-02 -5.5798379E-04 -7.1665879E-04  3.2308496E-03  1.6629131E-02
  5.2507600E+01  3.2449029E-02 -3.0399965E-04 -6.7041728E-04  3.6629688E-03  1.5870620E-02
  5.2507600E+01  3.2439233E-02 -6.9515857E-05 -6.0697243E-04  4.0619171E-03  1.5088923E-02
  5.2507600E+01  3.2426325E-02  1.2541022E-04 -5.2937489E-04  4.4259900E-03  1.4289971E-02
  5.2507600E+01  3.2410658E-02  2.6937938E-04 -4.4126063E-04  4.7530579E-03  1.3478688E-02
  5.2507600E+01  3.2392743E-02  3.6175889E-04 -3.4561957E-04  5.0440256E-03  1.2651492E-02
  5.2507600E+01  3.2373044E-02  4.0106604E-04 -2.4738802E-04  5.2928450E-03  1.1819939E-02
