          atime         ptr_uu         ptr_vv         ptr_ww         pm1avg           tavg
  2.0139100E+02 -3.9786809E-03  1.9988343E-03  1.9357366E-03 -1.2422396E-03  0.0000000E+00
  2.0139100E+02 -3.8535117E-03  1.9895982E-03  1.9135055E-03 -1.2373386E-03  0.0000000E+00
  2.0139100E+02 -3.7376126E-03  1.9742700E-03  1.8987173E-03 -1.2306721E-03  0.0000000E+00
  2.0139100E+02 -3.6337912E-03  1.9418502E-03  1.8873409E-03 -1.2218487E-03  0.0000000E+00
  2.0139100E+02 -3.5453406E-03  1.8865834E-03  1.8750107E-03 -1.2104634E-03  0.0000000E+00
  2.0139100E+02 -3.4742744E-03  1.8122651E-03  1.8594838E-03 -1.1964066E-03  0.0000000E+00
  2.0139100E+02 -3.4144561E-03  1.7325659E-03  1.8412541E-03 -1.1796132E-03  0.0000000E+00
  2.0139100E+02 -3.3469093E-03  1.6700394E-03  1.8214016E-03 -1.1600705E-03  0.0000000E+00
  2.0139100E+02 -3.2336026E-03  1.6485811E-03  1.7937955E-03 -1.1376681E-03  0.0000000E+00
  2.0139100E+02 -3.1859924E-03  1.5329765E-03  1.7155755E-03 -1.1142833E-03  0.0000000E+00
  2.0139100E+02 -3.0856179E-03  1.4494796E-03  1.6636879E-03 -1.0878968E-03  0.0000000E+00
  2.0139100E+02 -2.9777096E-03  1.3604149E-03  1.6146772E-03 -1.0592280E-03  0.0000000E+00
  2.0139100E+02 -2.8809330E-03  1.2618272E-03  1.5553594E-03 -1.0290425E-03  0.0000000E+00
  2.0139100E+02 -2.7975606E-03  1.1658899E-03  1.4813100E-03 -9.9802162E-04  0.0000000E+00
  2.0139100E+02 -2.7217400E-03  1.0875200E-03  1.3946548E-03 -9.6661729E-04  0.0000000E+00
  2.0139100E+02 -2.6465621E-03  1.0365875E-03  1.3027404E-03 -9.3535843E-04  0.0000000E+00
  2.0139100E+02 -2.5664995E-03  1.0126407E-03  1.2137380E-03 -9.0418818E-04  0.0000000E+00
  2.0139100E+02 -2.4808715E-03  1.0066485E-03  1.1362116E-03 -8.7318836E-04  0.0000000E+00
  2.0139100E+02 -2.3929261E-03  1.0040279E-03  1.0760759E-03 -8.4231637E-04  0.0000000E+00
  2.0139100E+02 -2.3084305E-03  9.9071871E-04  1.0354276E-03 -8.1161964E-04  0.0000000E+00
  2.0139100E+02 -2.2324825E-03  9.5950213E-04  1.0119265E-03 -7.8117906E-04  0.0000000E+00
  2.0139100E+02 -2.1665792E-03  9.1409263E-04  1.0001160E-03 -7.5114503E-04  0.0000000E+00
  2.0139100E+02 -2.1067480E-03  8.6868123E-04  9.9460322E-04 -7.2182122E-04  0.0000000E+00
  2.0139100E+02 -2.0435201E-03  8.3901175E-04  9.9568718E-04 -6.9355483E-04  0.0000000E+00
  2.0139100E+02 -1.9649095E-03  8.2019774E-04  1.0183465E-03 -6.6607807E-04  0.0000000E+00
  2.0139100E+02 -1.9434840E-03  7.2263106E-04  1.0006242E-03 -6.3928981E-04  0.0000000E+00
  2.0139100E+02 -1.8943271E-03  6.9647552E-04  9.8313747E-04 -6.1190508E-04  0.0000000E+00
  2.0139100E+02 -1.8408107E-03  6.9028959E-04  9.5666794E-04 -5.8382417E-04  0.0000000E+00
  2.0139100E+02 -1.7930244E-03  6.8212922E-04  9.2108941E-04 -5.5447743E-04  0.0000000E+00
  2.0139100E+02 -1.7527790E-03  6.6649291E-04  8.8182798E-04 -5.2340524E-04  0.0000000E+00
  2.0139100E+02 -1.7170171E-03  6.4487750E-04  8.4614487E-04 -4.9018918E-04  0.0000000E+00
  2.0139100E+02 -1.6813162E-03  6.1984972E-04  8.2074619E-04 -4.5480433E-04  0.0000000E+00
  2.0139100E+02 -1.6421046E-03  5.9217862E-04  8.0978896E-04 -4.1764976E-04  0.0000000E+00
  2.0139100E+02 -1.5977808E-03  5.6032218E-04  8.1365514E-04 -3.7926148E-04  0.0000000E+00
  2.0139100E+02 -1.5493232E-03  5.2205097E-04  8.2879222E-04 -3.4037018E-04  0.0000000E+00
  2.0139100E+02 -1.4999393E-03  4.7701759E-04  8.4817785E-04 -3.0180660E-04  0.0000000E+00
  2.0139100E+02 -1.4531941E-03  4.2854888E-04  8.6313327E-04 -2.6392697E-04  0.0000000E+00
  2.0139100E+02 -1.4115066E-03  3.8491217E-04  8.6560666E-04 -2.2697120E-04  0.0000000E+00
  2.0139100E+02 -1.3733851E-03  3.5710058E-04  8.5180545E-04 -1.9111352E-04  0.0000000E+00
  2.0139100E+02 -1.3298216E-03  3.5150932E-04  8.2656711E-04 -1.5635674E-04  0.0000000E+00
